,Name,POS,Age,HT,WT,Exp,College,team
0,Mario Addison97,DE,32,"6' 3""",260 lbs,10,Troy,Bills
1,Bryan Cox Jr.94,DE,25,"6' 3""",270 lbs,4,Florida,Bills
2,AJ Epenesa57,DE,21,"6' 6""",280 lbs,R,Iowa,Bills
3,Jerry Hughes55,DE,31,"6' 2""",254 lbs,11,TCU,Bills
4,Darryl Johnson92,DE,23,"6' 6""",253 lbs,2,North Carolina A&T,Bills
5,Mike Love56,DE,26,"6' 3""",255 lbs,2,South Florida,Bills
6,Trent Murphy93,DE,29,"6' 6""",260 lbs,7,Stanford,Bills
7,Jonathan Woodard59,DE,26,"6' 5""",271 lbs,3,Central Arkansas,Bills
8,Vernon Butler92,DT,25,"6' 4""",330 lbs,5,Louisiana Tech,Bills
9,Quinton Jefferson99,DT,27,"6' 4""",291 lbs,5,Maryland,Bills
10,Star Lotulelei98,DT,30,"6' 2""",315 lbs,8,Utah,Bills
11,Ed Oliver91,DT,22,"6' 1""",287 lbs,2,Houston,Bills
12,Harrison Phillips99,DT,24,"6' 3""",307 lbs,3,Stanford,Bills
13,Vincent Taylor96,DT,26,"6' 3""",311 lbs,4,Oklahoma State,Bills
14,Mike Bell,LB,--,"6' 3""",203 lbs,R,Fresno State,Bills
15,Tyrel Dodson53,LB,21,"6' 0""",237 lbs,1,Texas A&M,Bills
16,Tremaine Edmunds49,LB,22,"6' 5""",250 lbs,3,Virginia Tech,Bills
17,Vosean Joseph50,LB,22,"6' 1""",230 lbs,2,Florida,Bills
18,A.J. Klein53,LB,28,"6' 1""",240 lbs,8,Iowa State,Bills
19,Tyler Matakevich44,LB,27,"6' 1""",235 lbs,5,Temple,Bills
20,Matt Milano58,LB,25,"6' 0""",223 lbs,4,Boston College,Bills
21,Del'Shawn Phillips43,LB,23,"6' 2""",230 lbs,1,Illinois,Bills
22,Corey Thompson52,LB,26,"6' 1""",222 lbs,3,LSU-Shreveport,Bills
23,Isaiah Brown4,CB,--,"6' 1""",185 lbs,R,Florida International,Bills
24,E.J. Gaines26,CB,28,"5' 10""",191 lbs,6,Missouri,Bills
25,Dane Jackson30,CB,23,"6' 0""",180 lbs,R,Pittsburgh,Bills
26,Taron Johnson24,CB,23,"5' 11""",192 lbs,3,Weber State,Bills
27,Cameron Lewis47,CB,23,"5' 9""",183 lbs,1,Buffalo,Bills
28,Josh Norman24,CB,32,"6' 0""",200 lbs,9,Coastal Carolina,Bills
29,Levi Wallace39,CB,24,"6' 0""",179 lbs,3,Alabama,Bills
30,Tre'Davious White27,CB,25,"5' 11""",192 lbs,4,LSU,Bills
31,Micah Hyde23,S,29,"6' 0""",197 lbs,8,Iowa,Bills
32,Jaquan Johnson46,S,24,"5' 10""",191 lbs,2,Miami (FL),Bills
33,Dean Marlowe31,S,27,"6' 1""",208 lbs,4,James Madison,Bills
34,Siran Neal33,S,25,"6' 0""",206 lbs,3,Jacksonville State,Bills
35,Jordan Poyer21,S,29,"6' 0""",191 lbs,8,Oregon State,Bills
36,Garrett Taylor,S,--,"6' 0""",198 lbs,R,Penn State,Bills
37,Josh Thomas,S,--,"6' 0""",205 lbs,R,Appalachian State,Bills
0,Shaq Lawson90,DE,25,"6' 3""",267 lbs,5,Clemson,Dolphins
1,Avery Moss93,DE,25,"6' 3""",271 lbs,3,Youngstown State,Dolphins
2,Emmanuel Ogbah90,DE,26,"6' 4""",275 lbs,5,Oklahoma State,Dolphins
3,Tyshun Render,DE,23,"6' 4""",256 lbs,R,Middle Tennessee,Dolphins
4,Bryce Sterk,DE,--,"6' 5""",261 lbs,R,Montana State,Dolphins
5,Jason Strowbridge55,DE,23,"6' 4""",267 lbs,R,North Carolina,Dolphins
6,Curtis Weaver99,DE,21,"6' 3""",265 lbs,R,Boise State,Dolphins
7,Raekwon Davis99,DT,22,"6' 7""",312 lbs,R,Alabama,Dolphins
8,Davon Godchaux56,DT,25,"6' 3""",311 lbs,4,LSU,Dolphins
9,Benito Jones95,DT,22,"6' 1""",321 lbs,R,Ole Miss,Dolphins
10,Ray Lima,DT,23,"6' 3""",305 lbs,R,Iowa State,Dolphins
11,Durval Queiroz Neto69,DT,27,"6' 4""",330 lbs,1,--,Dolphins
12,Zach Sieler92,DT,24,"6' 6""",301 lbs,3,Ferris State,Dolphins
13,Christian Wilkins94,DT,24,"6' 4""",315 lbs,2,Clemson,Dolphins
14,Jerome Baker55,LB,23,"6' 2""",225 lbs,3,Ohio State,Dolphins
15,Vince Biegel47,LB,26,"6' 3""",246 lbs,4,Wisconsin,Dolphins
16,James Crawford51,LB,25,"6' 2""",239 lbs,3,Illinois,Dolphins
17,Sam Eguavoen49,LB,27,"6' 0""",236 lbs,2,Texas Tech,Dolphins
18,Kamu Grugier-Hill54,LB,25,"6' 2""",230 lbs,5,Eastern Illinois,Dolphins
19,Terrill Hanks57,LB,24,"6' 2""",241 lbs,R,New Mexico State,Dolphins
20,Trent Harris97,LB,24,"6' 2""",255 lbs,2,Miami (FL),Dolphins
21,Kylan Johnson28,LB,23,"6' 2""",230 lbs,R,Pittsburgh,Dolphins
22,Raekwon McMillan52,LB,24,"6' 2""",242 lbs,4,Ohio State,Dolphins
23,Calvin Munson48,LB,25,"6' 0""",245 lbs,2,San Diego State,Dolphins
24,Elandon Roberts52,LB,26,"6' 0""",238 lbs,5,Houston,Dolphins
25,Andrew Van Ginkel43,LB,24,"6' 4""",242 lbs,2,Wisconsin,Dolphins
26,Kyle Van Noy53,LB,29,"6' 3""",250 lbs,7,BYU,Dolphins
27,Nate Brooks30,CB,23,"6' 0""",192 lbs,1,North Texas,Dolphins
28,Tae Hayes22,CB,22,"5' 9""",188 lbs,2,Appalachian State,Dolphins
29,Xavien Howard25,CB,26,"6' 1""",198 lbs,5,Baylor,Dolphins
30,Noah Igbinoghene4,CB,20,"5' 11""",200 lbs,R,Auburn,Dolphins
31,Byron Jones31,CB,27,"6' 1""",200 lbs,6,Connecticut,Dolphins
32,Ryan Lewis24,CB,26,"6' 0""",195 lbs,3,Pittsburgh,Dolphins
33,Nik Needham40,CB,23,"6' 0""",193 lbs,2,UTEP,Dolphins
34,Jamal Perry33,CB,25,"5' 10""",180 lbs,2,Iowa State,Dolphins
35,Eric Rowe21,CB,27,"6' 1""",205 lbs,6,Utah,Dolphins
36,Cordrea Tankersley23,CB,26,"6' 1""",200 lbs,4,Clemson,Dolphins
37,Ken Webster31,CB,23,"5' 11""",202 lbs,2,Ole Miss,Dolphins
38,Adrian Colbert36,S,26,"6' 2""",205 lbs,4,Miami (FL),Dolphins
39,Clayton Fejedelem42,S,26,"6' 0""",205 lbs,5,Illinois,Dolphins
40,Kavon Frazier,S,25,"6' 0""",223 lbs,5,Central Michigan,Dolphins
41,Brandon Jones19,S,22,"6' 0""",205 lbs,R,Texas,Dolphins
42,Bobby McCain28,S,26,"5' 11""",192 lbs,6,Memphis,Dolphins
43,Steven Parker26,S,24,"6' 1""",210 lbs,2,Oklahoma,Dolphins
0,Tashawn Bower96,DE,25,"6' 5""",250 lbs,3,LSU,Patriots
1,Lawrence Guy93,DE,30,"6' 4""",315 lbs,10,Arizona State,Patriots
2,Derek Rivers95,DE,25,"6' 5""",250 lbs,4,Youngstown State,Patriots
3,John Simon55,DE,29,"6' 2""",260 lbs,8,Ohio State,Patriots
4,Nick Thurman92,DE,24,"6' 4""",305 lbs,1,Houston,Patriots
5,Chase Winovich50,DE,25,"6' 3""",250 lbs,2,Michigan,Patriots
6,Deatrich Wise Jr.91,DE,25,"6' 5""",275 lbs,4,Arkansas,Patriots
7,Beau Allen91,DT,28,"6' 3""",327 lbs,7,Wisconsin,Patriots
8,Adam Butler70,DT,26,"6' 5""",300 lbs,4,Vanderbilt,Patriots
9,Byron Cowart99,DT,23,"6' 3""",300 lbs,2,Maryland,Patriots
10,Bill Murray95,DT,--,"6' 4""",280 lbs,R,William & Mary,Patriots
11,Ja'Whaun Bentley51,LB,23,"6' 2""",255 lbs,3,Purdue,Patriots
12,Shilique Calhoun90,LB,28,"6' 4""",260 lbs,5,Michigan State,Patriots
