,Name,"('Unnamed: 0_level_0', 'GP')","('Kickoffs', 'ATT')","('Kickoffs', 'YDS')","('Kickoffs', 'AVG')","('Kickoffs', 'LNG')","('Kickoffs', 'TD')","('Punts', 'ATT')","('Punts', 'YDS')","('Punts', 'AVG')","('Punts', 'LNG')","('Punts', 'TD')","('Punts', 'FC')",class,team
0,Andre Roberts WR,13,25,664,26.6,66,0,28,223,8.0,22,0,15,Returning,Bills
1,Andre Roberts WR,15,3,65,21.7,24,0,1,4,4.0,4,0,1,Returning,Bills
2,Andre Roberts WR,16,2,47,23.5,45,1,3,16,5.3,10,0,5,Returning,Bills
3,Andre Roberts WR,16,1,24,24.0,24,0,0,0,0.0,0,0,0,Returning,Bills
4,Jakeem Grant WR,10,23,578,25.1,101,1,5,6,1.2,5,0,0,Returning,Dolphins
5,Jakeem Grant WR,3,4,95,23.8,30,0,6,33,5.5,10,0,3,Returning,Dolphins
6,Jakeem Grant WR,5,3,57,19.0,21,0,6,23,3.8,10,0,5,Returning,Dolphins
7,Jakeem Grant WR,16,4,45,11.3,14,0,0,0,0.0,0,0,0,Returning,Dolphins
8,Jakeem Grant WR,6,1,15,15.0,15,0,0,0,0.0,0,0,0,Returning,Dolphins
9,Jakeem Grant WR,8,1,6,6.0,6,0,0,0,0.0,0,0,0,Returning,Dolphins
10,Brandon Bolden RB,15,23,515,22.4,38,0,0,0,0.0,0,0,0,Returning,Patriots
11,Brandon Bolden RB,15,2,41,20.5,21,0,0,0,0.0,0,0,0,Returning,Patriots
12,Brandon Bolden RB,16,1,19,19.0,19,0,0,0,0.0,0,0,0,Returning,Patriots
13,Brandon Bolden RB,8,0,0,0.0,0,0,9,54,6.0,14,0,9,Returning,Patriots
14,Ty Montgomery RB,16,18,364,20.2,34,0,0,0,0.0,0,0,0,Returning,Jets
15,Ty Montgomery RB,13,10,299,29.9,78,0,0,0,0.0,0,0,0,Returning,Jets
16,Ty Montgomery RB,4,5,96,19.2,28,0,0,0,0.0,0,0,0,Returning,Jets
17,Justice Hill RB,16,12,227,18.9,46,0,0,0,0.0,0,0,0,Returning,Ravens
18,Justice Hill RB,8,10,166,16.6,31,0,13,93,7.2,20,0,7,Returning,Ravens
19,Justice Hill RB,14,4,81,20.3,26,0,0,0,0.0,0,0,0,Returning,Ravens
20,Justice Hill RB,16,1,19,19.0,19,0,0,0,0.0,0,0,0,Returning,Ravens
21,Brandon Wilson S,12,20,625,31.3,92,1,0,0,0.0,0,0,0,Returning,Bengals
